data_domain,table_name,columns,comments,source,source_url,released_on,updated_on,rows_count,business_metadata
Finance_and_Industry,ki_assam_mth_sctg,"indicator_category, indicator_type, indicator_name, budget_estimates, actuals, percentage_actual_budget_estimate_current, percentage_actual_budget_estimate_previous_year","Monthly key indicators for Assam state budget, including budget estimates, actuals, and percentage comparisons with previous year",Comptroller & Auditor General (CAG) - Assam State Accounts,https://cag.gov.in/en/state-accounts-report?defuat_state_id=66,2025-09-25 00:00:00,2025-09-25 00:00:00,41,Structured dataset; allows analysis of budget vs actuals and performance tracking of Assam state fiscal indicators
Finance_and_Industry,insurance_india_mth_sctg,"insurer, fire, marine_total, marine_cargo, marine_hull, engineering, motor_total, motor_od, motor_tp, health, aviation, liability, pa, all_other_misc, grand_total, growth_percent, market_percent, accretion","Segment-wise monthly non-life insurance business figures, including premiums, policy numbers, growth, and market share by insurer",General Insurance Council (GIC),https://www.gicouncil.in/statistics/industry-statistics/segment-wise-report-on-homepage/,2025-09-16 00:00:00,2025-09-25 00:00:00,84,"Structured dataset; English content only; enables analysis of premiums, policy numbers, growth rates, and market share trends for non-life insurers"
Finance_and_Industry,toll_state_monthly_etc_transactions,"fiscal_year, month, fee_plaza_name, state, transaction_count, transaction_amount",Monthly toll wise value and volume of transactions,IHMCL,https://ihmcl.co.in/etc-transaction-reports/,2023-04-01 00:00:00,2025-06-01 00:00:00,27645,Structured dataset; supports analysis of monthly toll transaction value and volume
EV,ev_state_yr_catg,"year, state, broad_category, ev_vehicle_registered, percentage_share_of_ev_in_total_vehicle_registered, updated_on",Electric Vehicles Penetration in India (Statewise),NITI Aayog - ICED,https://iced.niti.gov.in/analytics/ice-and-ev-vehicle-registered,2025-08-23 00:00:00,2025-09-29 00:00:00,10920,"Annual state-wise EV registration data from 2000 onwards, showing year-on-year EV registration and the share of EVs in total vehicle registrations by broad category (e.g., 2 Wheeler, 4 Wheeler). Data is structured for analysis of trends in EV adoption across Indian states."
Trade,trade_india_mth_commodity_import,"hscode, commodity, month, month_numeric, year, financial_year, values_in_cr, percentage_growth, updated_on",Export-Import data broken down by individual commodities (via HS codes) - Import,Ministry of Commerce - Trade Statistics,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2025-08-23 00:00:00,2025-09-25 00:00:00,2772,"Monthly import data for all commodities, including HS codes, growth rates, and total imports, structured for analysis of trade trends."
Trade,trade_india_mth_commodity_export,"hscode, commodity, month, month_numeric, year, financial_year, values_in_cr, percentage_growth, updated_on",Export-Import data broken down by individual commodities (via HS codes) - Export,Ministry of Commerce - Trade Statistics,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2025-08-23 00:00:00,2025-09-25 00:00:00,2772,"Monthly export data for all commodities, including HS codes, growth rates, and total exports, structured for analysis of trade trends."
Trade,trade_india_mth_stateut_country_export,"states_ut_name, total_exports, march_exports_in_million_dollars, feb_exports_in_million_dollars, percentage_growth_compared_to_previous_month, percentage_share_in_selected_criteria_total_exports, fiscal_year, updated_on",India export data to other countries - Commodity view,Ministry of Commerce - Niryat Portal,https://niryat.gov.in/#?start_date=202404&end_date=202503&sort_table=export_achieved-sort-desc,2025-08-23 00:00:00,2025-09-25 00:00:00,185,"Monthly/annual export data for Indian states/UTs by country, including total exports, month-wise exports, growth rates, and percentage share. The commodity view is used to classify subgroups like engineering, petroleum, etc., for industry trend analysis. Timeline: last 5 years."
Trade,trade_india_mth_commoditygrp_country_export,"commodity_group, total_exports, march_exports_in_million_dollars, feb_exports_in_million_dollars, percentage_growth_compared_to_previous_month, percentage_share_in_selected_criteria_total_exports, fiscal_year, updated_on",India export data to other countries - Commodity group view,Ministry of Commerce - Niryat Portal,https://niryat.gov.in/#?start_date=202404&end_date=202503&sort_table=export_achieved-sort-desc,2025-08-23 00:00:00,2025-09-25 00:00:00,160,"Monthly/annual export data for Indian commodity groups by country, including total exports, month-wise exports, growth rates, and percentage share. The commodity view classifies subgroups like engineering, petroleum, etc., for understanding trends in specific industries. Timeline: last 5 years."
Traffic,traffic_india_mth_air_passengers,"year, month, month_numeric, passengers_numbers, updated_on",Month-wise Number of Air Passenger Traffic at Ayodhya Airport from January 2024 to June 2024,Data.gov.in,https://www.data.gov.in/resource/month-wise-number-air-passenger-traffic-ayodhya-airport-january-2024-june-2024,2025-08-23 00:00:00,2025-09-25 00:00:00,6,Monthly and annual data of air passengers at Ayodhya Airport for the first half of 2024. Structured for analysis of passenger trends over time.
"Energy, Power and Renewable Resources",energy_india_statewise_coal_reserves,"year, state, proved, indicated, inferred, total, distribution_percent, updated_on, released_on",State-wise Estimated Reserves of Coal for 2023-2024,MoSPI - Energy Statistics Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=Energy+Statistics+India,2025-08-23 00:00:00,2025-09-25 00:00:00,32,"Annual state-wise data of estimated coal reserves, including proved, indicated, inferred reserves, total reserves, and distribution percentage. Structured for analysis of energy resources across Indian states."
"Energy, Power and Renewable Resources",energy_india_statewise_crude_oil_ngas_reserves,"year, state, crude_oil_est_reserves, crude_oil_distribution_percent, natural_gas_est_reserves, natural_gas_distribution_percent, updated_on, released_on",State-wise Estimated Reserves of Crude Oil and Natural Gas for 2023-24,MoSPI - Energy Statistics Division,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=Energy+Statistics+India,2025-08-23 00:00:00,2025-09-25 00:00:00,30,"Annual state-wise data of estimated crude oil and natural gas reserves, including estimated reserves and distribution percentages. Structured for analysis of energy resources across Indian states."
Labour,labour_india_sector_industry_occupation_wages,"base_year, sector, industry, occupation, year, period_as_on, absolute_wages","Occupation wages data across sectors, industries, and occupations from 2020 to 2023",Labour Bureau,https://labourbureau.gov.in/occupation-wages,2025-08-23 00:00:00,2025-09-25 00:00:00,5598,"Annual data covering national, sector-wise, industry-wise, and occupation-wise wages with base year 2016. Structured for analysis of occupation-specific wage trends across states from 2020 to 2023."
Labour,labour_india_rural_wages,"year, month, state, occupation, item, men, women","Rural wage rate data across states, occupations, and items from 2020-2021 to 2024-2025",Labour Bureau,https://labourbureau.gov.in/rural-wages,2025-08-23 00:00:00,2025-09-25 00:00:00,66625,"Biannual rural wage data (1st Jan and 1st July) covering national, state, sector, occupation, and item-wise wages for men and women. Structured for analyzing rural wage trends across occupations and items."
FDI,fdi_india_fy_state,"state_name, fdi_in_inr_crore, fdi_in_usd_million, inflow_percentage, financial_year",FDI inflow data by Indian states,"Department for Promotion of Industry and Internal Trade (DPIIT), MoCI, GoI",https://www.fdiindia.gov.in,2025-08-23 00:00:00,2025-09-25 00:00:00,176,"Quarterly FDI inflow data from 2020 to 2025 by state, including values in INR crore, USD million, and percentage of total inflow."
FDI,fdi_india_fy_sector,"sector_name, fdi_in_inr_crore, fdi_in_usd_million, inflow_percentage, financial_year",FDI inflow data by industry sectors,"Department for Promotion of Industry and Internal Trade (DPIIT), MoCI, GoI",https://www.fdiindia.gov.in,2025-08-23 00:00:00,2025-09-25 00:00:00,344,"Quarterly FDI inflow data from 2020 to 2025 by sector, including values in INR crore, USD million, and percentage of total inflow."
FDI,fdi_india_fy_country,"country_name, fdi_in_inr_crore, fdi_in_usd_million, inflow_percentage, financial_year",FDI inflow data by foreign countries,"Department for Promotion of Industry and Internal Trade (DPIIT), MoCI, GoI",https://www.fdiindia.gov.in,2025-08-23 00:00:00,2025-09-25 00:00:00,649,"Quarterly FDI inflow data from 2020 to 2025 by country, including values in INR crore, USD million, and percentage of total inflow."
Mutual Funds,mf_india_qtr_total,"scheme_name, no_of_schemes, no_of_folios, funds_mobilized, repurchase_redemption, net_inflow_outflow, net_assets_under_management, average_net_assets_under_management, no_of_segregated_portfolios, segregated_portfolio_aum, month, year, quarter","Quarterly totals of mutual fund schemes including number of schemes, folios, funds mobilized, repurchase/redemption, net inflow/outflow, AUM, and segregated portfolio details",AMFI,https://www.amfiindia.com/research-information/amfi-data,2025-08-23 00:00:00,2025-10-01 00:00:00,737,"Quarterly mutual fund totals from 2020 onwards, capturing schemes, folios, net inflows/outflows, assets under management, and segregated portfolio AUM. Structured for trend analysis and summary reporting."
Social Protection (PM-JAY Performance),sp_india_daily_state,"state_name, total_ayushman_card_created, total_hospital_admissions, total_hospital_empanelled, updated_on","Daily state-wise PM-JAY performance metrics including number of Ayushman cards created, authorized hospital admissions, and hospitals empanelled",National Health Authority (NHA),https://dashboard.nha.gov.in/public/,2025-08-23 00:00:00,2025-09-25 00:00:00,35,"Daily data by state/UT capturing Ayushman card issuance, hospital admissions, and empanelled hospitals. Structured for monitoring PM-JAY performance including gender and age distribution where available."
Trade,trade_india_annual_country,"country, year, total_hs_code_tariff_line",Annual country-wise import/export data including total HS code tariff lines,Indian Trade Portal,"https://indiantradeportal.in/vs.jsp?lang=0&id=0,25,45",2025-08-23 00:00:00,2025-09-25 00:00:00,156,"Annual trade data covering India for 2020–2025, including all HS codes up to 6-digit level, with unit price details for India and world. Focused on India data due to time constraints; some country data presented as images is skipped."
Insurance,insurance_india_mth_life_insurer,"insurer, category, metric_type, year, month, month_numeric, value, growth_percentage, market_share",Monthly life insurance business figures by insurer,IRDAI,https://www.irdai.gov.in,2025-08-23 00:00:00,2025-09-25 00:00:00,2592,"Monthly life insurance metrics from 2020–2025, covering total premiums, policy numbers, growth percentages, and market share by insurer. Last 6 months data will be ingested in SQL."
IIP,annual_chemical_production_data,"group_name,product,year,value ","This dataset presents product-wise and group-wise annual production figures of major chemicals in India, based on Monthly Production Returns (MPRs) submitted by manufacturers under large and medium-scale sectors. It includes categories such as alkali chemicals, inorganic chemicals, organic chemicals, and more.","Ministry of Chemicals and Fertilizers, Government of India",https://aikosh.indiaai.gov.in/web/datasets/details/production_of_major_chemicals_product_wise_group_wise.html,2024-01-23 00:00:00,2024-01-23 00:00:00,736,"Annual production of major chemicals in India, categorized by product and chemical group, based on data from the Ministry of Chemicals and Fertilizers."
Finance_and_Industry,crude_oil_mth_data,"month, year, oil_company, quantity_metric_tonnes","This dataset tracks monthly volumes of crude oil processed across Indian refineries, covering both public and private sector facilities. Sourced from oil companies via the Petroleum Planning and Analysis Cell (PPAC), with some data marked as provisional. Updates are available through June 2025","Ministry of Petroleum and Natural Gas Petroleum Planning & Analysis Cell, Government of India",https://aikosh.indiaai.gov.in/web/datasets/details/monthly_crude_oil_processed_by_refineries_1.html,2023-06-14 00:00:00,2025-10-02 00:00:00,1392,Monthly quantity of crude oil processed by various public and private refineries in India.
Finance_and_Industry,ppac_mth_petroleum_consumption,"month, year, products, quantity_metric_tonnes, updated_date","This dataset from India Petroleum Planning & Analysis Cell provides monthly consumption figures of key petroleum products. It includes data on LPG, diesel, petrol, kerosene, bitumen, and others in thousand metric tonnes. Useful for energy analysts, policymakers, and researchers tracking fuel usage trends.","Ministry of Petroleum and Natural Gas Petroleum Planning & Analysis Cell, Government of India",https://aikosh.indiaai.gov.in/web/datasets/details/monthly_crude_oil_processed_by_refineries_1.html,2023-05-19 00:00:00,2025-10-02 00:00:00,792,"Monthly consumption in India for key petroleum products such as LPG, diesel, and petrol."
social_migration_and_households,airport_sewa_services_data,"airport, category, title, description, email, phone, website, last_updated","It includes parameters such as cleanliness, Wi-Fi availability, waiting time, facilities, and grievance redressal.",Aikosh,https://aikosh.indiaai.gov.in/web/datasets/details/airsewa_airport_services_data.html,2017-07-27 00:00:00,2024-10-14 00:00:00,260,"Details the services, amenities, and grievance redressal information available at various airports under the AirSewa initiative."
MSME,msme_sambandh_procurement_data,"s_no, ministry_name, total_annual_target_crore, achievement_crore, target_mses_crore, achievement_mses_crore, target_sc_st_mses_crore, achievement_sc_st_mses_crore, target_women_mses_crore, target_women_mses_crore, achievement_women_mses_crore, fiscal_year",Govt. measures (Major MSME reforms),Ministry of Micro Small and Medium Enterprises,https://sambandh.msme.gov.in/,2017-04-01 00:00:00,2025-04-01 00:00:00,330,"Ministry-wise Procurement target vs achievement of mses, sc/st, women "
Trade,trade_india_mth_country,"country, year, month, value",Monthly India trade (exports) data by country,Ministry of Commerce & Industry – TradeStat,https://tradestat.commerce.gov.in/meidb/country_wise_export,2025-09-28 00:00:00,2025-10-01 00:00:00,2022,"Covers monthly country-wise Indian export data from 2020 to September 2025. Enables analysis of trade trends across nations. Supports queries like: “Which countries began importing new categories of Indian goods since 2022?”, and “Which countries started importing pharmaceutical products for the first time in 2022–2025?”. All countries are covered, with financial year and monthly granularity."
Trade,trade_india_mth_region,"region, subregion, month, year, value, type",Monthly India trade (exports) data by region and subregion,Ministry of Commerce & Industry – TradeStat,https://tradestat.commerce.gov.in/meidb/region_wise_export,2025-09-28 00:00:00,2025-10-01 00:00:00,364,"Covers monthly region-wise Indian export data from 2020 to September 2025, with region and subregion splits. Enables analysis of regional demand patterns and seasonal export peaks. Supports queries such as: “Which regions showed a seasonal peak in exports for textiles from 2018 to 2025?”. Data is structured for all months and regions, allowing strategic planning for logistics and production."
EPFO,epfo_india_mth_payroll_view,"month, age_less_than_18, age_18_21, age_22_25, age_26_28, age_29_35, age_more_than_35, total, establishments_remitting_first_ecr",Monthly EPFO payroll data by age groups and establishments,EPFO (Employees’ Provident Fund Organisation),https://www.epfindia.gov.in/site_en/Estimate_of_Payroll.php,2025-09-01 00:00:00,2025-10-01 00:00:00,70,"Covers monthly payroll data from 2020 to August 2025, split by age groups and establishments remitting first ECR. Source includes comprehensive Excel/PDF with state, gender, industry, additions, and exits. Helps map formal jobs, demographics, sector splits, and workforce dynamics. Example queries: “Which sector added most jobs?”, “Exits and additions state-wise?”."
Trade,trade_india_mth_region_commodity,"hscode, commodity, region, year, month, value_in_crore, percentage_growth",Monthly India trade (exports) data by region and commodity (HS code up to 8 digits),Ministry of Commerce & Industry – TradeStat,https://tradestat.commerce.gov.in/meidb/region_wise_all_commodities_export,2025-09-28 00:00:00,2025-10-01 00:00:00,2765,"Covers monthly region–commodity wise export data from 2020 to September 2025. Includes HS code, commodity name, and export values. Enables analysis of regional contributions to total exports and how they changed during global events. Example query: “What is the change in export share by region before and after the COVID-19 pandemic?”. Data allows detailed commodity-level drilldowns for all regions across the last five years."
RBI,rbi_india_mth_payment_system_indicators,"section, item, sub_item, month, year, volume_in_lakhs, value_in_crores",Monthly RBI data on payment systems indicators including volumes and values,Reserve Bank of India,https://data.rbi.org.in/#/dbie/indicators,2025-08-17 00:00:00,2025-10-01 00:00:00,240,"Covers monthly data from FY21 onwards for payment systems. Includes section, item, sub_item, monthly volume (in lakhs) and value (in crores). Priority for Go-Live ingestion: Monthly/Bi-monthly/Quarterly/Half-yearly/Annual data. Daily/Weekly data can be considered second priority. Occasional updates are ignored for Go-Live."
RBI,rbi_india_mth_bank_rtgs,"month, month_numeric, year, bank_name, inward_volume_interbank, inward_volume_customer, inward_volume_total, inward_volume_percent, inward_value_interbank_crore, inward_value_customer_crore, inward_value_total_crore, inward_value_percent, outward_volume_interbank, outward_volume_customer, outward_volume_total, outward_volume_percent, outward_value_interbank_crore, outward_value_customer_crore, outward_value_total_crore, outward_value_percent",Monthly RTGS transactions by bank including inward/outward volumes and values in crores and percentages.,Reserve Bank of India,https://data.rbi.org.in/#/dbie/indicators,2025-08-17 00:00:00,2025-10-01 00:00:00,1485,Covers monthly RTGS data from FY21 onwards. Includes bank-wise inward and outward transaction volumes and values. Priority for Go-Live ingestion: Monthly/Bi-monthly/Quarterly/Half-yearly/Annual data. Daily/Weekly data can be considered second priority. Occasional updates are ignored for Go-Live.
RBI,rbi_india_mth_bank_neft,"month, month_numeric, year, bank_name, received_inward_credits_count, received_inward_credits_amount_crore, total_outward_debits_count, total_outward_debits_amount_crore",Monthly NEFT transactions by bank including inward credits and outward debits counts and amounts in crores.,Reserve Bank of India,https://data.rbi.org.in/#/dbie/indicators,2025-08-17 00:00:00,2025-10-01 00:00:00,1421,Covers monthly NEFT data from FY21 onwards. Includes bank-wise inward credit and outward debit counts and amounts. Priority for Go-Live ingestion: Monthly/Bi-monthly/Quarterly/Half-yearly/Annual data. Daily/Weekly data can be considered second priority. Occasional updates are ignored for Go-Live.
RBI,rbi_india_mth_bank_mobile_banking,"month, month_numeric, year, bank_name, volume_actuals, value_rs_thousand, active_customers_mobile_banking","Monthly mobile banking transactions by bank including volume, value in Rs. thousand, and active customer count.",Reserve Bank of India,https://data.rbi.org.in/#/dbie/indicators,2025-08-17 00:00:00,2025-10-01 00:00:00,3482,"Covers monthly mobile banking data from FY21 onwards. Includes bank-wise transaction volume, value, and number of active mobile banking customers. Priority for Go-Live ingestion: Monthly/Bi-monthly/Quarterly/Half-yearly/Annual data. Daily/Weekly data can be considered second priority. Occasional updates are ignored for Go-Live."
RBI,rbi_india_mth_bank_internet_banking,"month, month_numeric, year, bank_name, volume_actuals, value_rs_thousand, active_customers_internet_banking","Monthly internet banking transactions by bank including volume, value in Rs. thousand, and active customer count.",Reserve Bank of India,https://data.rbi.org.in/#/dbie/indicators,2025-08-17 00:00:00,2025-10-01 00:00:00,766,"Covers monthly internet banking data from FY21 onwards. Includes bank-wise transaction volume, value, and number of active internet banking customers. Priority for Go-Live ingestion: Monthly/Bi-monthly/Quarterly/Half-yearly/Annual data. Daily/Weekly data can be considered second priority. Occasional updates are ignored for Go-Live."
Demography,demography_india_yr_popsexgrowth,"year, rural_male, rural_female, rural_person, rural_sex_ratio, urban_male, urban_female, urban_person, urban_sex_ratio, total_male, total_female, total_person, total_sex_ratio, aagr_male, aagr_female, aagr_person","Annual population data in India, split by rural/urban and male/female, including sex ratio and average annual growth rate (AAGR).",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&product=WMI&search=,2023-08-11 00:00:00,2025-10-01 00:00:00,12,"Trends in population, sex ratio, and average annual growth rate of population of post-independence India. Covers rural, urban, and total populations by gender. All 106 datasets ingested."
Demography,demography_india_state_yr_literacy,"state_ut, age_group, rural_male, rural_female, rural_person, urban_male, urban_female, urban_person, all_male, all_female, all_person","Annual Modular Survey (AMS) data showing literacy rates by state/UT, age group, and gender, for rural, urban, and total populations.",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&product=CAMS&search=,2022-08-11 00:00:00,2025-10-01 00:00:00,111,Percentage of persons able to read and write short simple statements in their everyday life with understanding. All 26 datasets ingested.
Household Consumption Expenditure,hces_india_yr_sector,"state_ut, rural_avg_mpce, urban_avg_mpce, rural_avg_mpce_imputed, urban_avg_mpce_imputed",Annual Household Consumption Expenditure Survey (HCES) data showing average monthly per capita consumption expenditure by state/UT and sector (rural/urban).,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&product=HCES&search=,2023-08-11 00:00:00,2025-10-01 00:00:00,37,All 54 datasets ingested; includes imputed MPCE values for rural and urban sectors.
Industry Survey,asi_imp_principal_characteristics_by_rural_urban_sector,"year, rural, urban, principal_characteristics, release_on, updated_on, data_source","Annual Survey of Industries (ASI) principal characteristics by rural and urban sector, capturing employment, output, and key metrics.",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,91,All 11 datasets ingested; data split by rural and urban sectors.
Industry Survey,asi_imp_principal_characteristics_india_by_mjr_indus_grp,"year, food_products, beverages, tobacco_products, textiles, wearing_apparel, cotton_ginning_cleaning_and_bailing_seed_processing_for_propagation, salt_production_by_evaporation_of_sea_water_or_other_saline_water, leather_and_related_products, wood_and_products_of_wood_and_cork_except_furniture, paper_and_paper_products, printing_and_reproduction_of_recorded_media, coke_and_refined_petroleum_products, chemicals_and_chemical_products, pharmaceuticals_medicinal_chemical_and_botanical_products, rubber_and_plastics_products, other_non_metallic_mineral_products, basic_metals, fabricated_metal_products_except_machinery_and_equipment, computer_electronic_and_optical_products, electrical_equipment, machinery_and_equipment_nec, motor_vehicles_trailers_and_semi_trailers, other_transport_equipment, manufacture_of_furniture, 32_other_manufacturing, repair_and_installation_of_machinery_and_equipment, waste_collection_treatment_disposal_activities_materials_recovered, publishing_activities, other_industries, characteristics, release_on, updated_on, data_source","Annual Survey of Industries (ASI) principal characteristics by major industry groups for India, capturing employment, output, and other key metrics.",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,91,All 11 datasets ingested; data split by major industry groups.
Industry Survey,asi_industrywise_factories_2022_23,"type_of_industries, no_of_factories, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – number of factories by type of industries for FY 2022-23.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,29,All 11 datasets ingested; data split by type of industries.
Industry Survey,asi_no_of_workers_and_person_engaged,"year, no_of_workers, total_person_engaged, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – number of workers and total persons engaged for each year.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,42,All 11 datasets ingested; data includes workers and total persons engaged per year.
Industry Survey,asi_num_of_factories_nva,"year, net_value_added_nva_lakhs, no_of_factories, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – number of factories and net value added (NVA) in lakhs for each year.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,42,All 11 datasets ingested; data includes number of factories and net value added per year.
Industry Survey,asi_statewise_number_of_factories_for_2022_23,"states, number_of_factories_in_no, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – state-wise number of factories for the year 2022-23.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,35,All 11 datasets ingested; data includes number of factories by state for 2022-23.
Industry Survey,asi_top_ten_states_by_number_of_factories,"states, 2010_11, 2011_12, 2012_13, 2013_14, 2014_15, 2015_16, 2016_17, 2017_18, 2018_19, 2019_20, 2020_21, 2021_22, 2022_23, release_on, updated_on, data_source","Annual Survey of Industries (ASI) – top ten states by number of factories, 2010-11 to 2022-23.",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,37,All 11 datasets ingested; data includes top ten states by number of factories for multiple years up to 2022-23.
Industry Survey,asi_trend_imp_characteristics_technical_coefficients,"year, technical_co_efficients, region, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – trend in important characteristics with technical coefficients.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,36,All 11 datasets ingested; data includes trends in important characteristics with technical coefficients by region.
Industry Survey,asi_trend_of_imp_characteristics_structural_ratios,"year, structural_ratios, region, release_on, updated_on, data_source",Annual Survey of Industries (ASI) – trend of important characteristics with structural ratios by region.,MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,48,All 11 datasets ingested; data includes trends in important characteristics with structural ratios by region.
Industry Survey,asi_trend_of_imp_principal_characteristics_india,"year, value, income, release_on, updated_on, data_source","Annual Survey of Industries (ASI) – trend of important principal characteristics for India, across different income categories.",MOSPI,https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=&product=ASI,2023-08-11 00:00:00,2025-10-01 00:00:00,294,All 11 datasets ingested; includes annual trends of important principal characteristics for India by income category.
IIP,iip_in_assam,"nic_code, industry_description, weight, year, index_value, updated_on","Index of Industrial Production (IIP) for Assam from 2019-20 to 2022-23, tracking industrial performance across sectors based on NIC classification.","Directorate of Economics & Statistics, Assam",https://des.assam.gov.in/information-services/industry,2025-09-01 00:00:00,2025-09-04 00:00:00,220,"Structured dataset extracted from Assam IIP PDF (2019-20 to 2022-23); used for analyzing state-level industrial performance, growth patterns, and Covid-19 impact."
IIP,iip_in_kerala_fy_index,"fiscal_year, category, index_value, updated_on","Index of Industrial Production (IIP) for Kerala by fiscal year and category, derived from official ECOSTAT data covering 2019–2024.","Department of Economics and Statistics, Government of Kerala (ECOSTAT)",https://www.ecostat.kerala.gov.in/unit-level-data?category=&scheme=4139&jurisdiction=&search=&published_from=&published_to=&sort=newest,2025-08-23 00:00:00,2025-09-05 00:00:00,58,"Structured dataset covering quarterly IIP data for Kerala from 2019 to 2024, sourced from ECOSTAT Excel files containing seven sheets representing different industrial categories."
IIP,iip_in_kerala_monthly,"fiscal_year, category, month, index_value, updated_on","Monthly Index of Industrial Production (IIP) data for Kerala by category and fiscal year, compiled from ECOSTAT datasets covering 2019–2024.","Department of Economics and Statistics, Government of Kerala (ECOSTAT)",https://www.ecostat.kerala.gov.in/unit-level-data?category=&scheme=4139&jurisdiction=&search=&published_from=&published_to=&sort=newest,2025-08-23 00:00:00,2025-09-05 00:00:00,491,"Structured dataset containing monthly IIP data for Kerala across multiple industrial categories for fiscal years 2019–2024, extracted from ECOSTAT Excel files with seven categorized sheets."
IIP,iip_in_kerala_quarterly,"fiscal_year, quarter, category, index_value, updated_on","Quarterly Index of Industrial Production (IIP) data for Kerala by category and fiscal year, compiled from ECOSTAT datasets covering 2019–2024.","Department of Economics and Statistics, Government of Kerala (ECOSTAT)",https://www.ecostat.kerala.gov.in/unit-level-data?category=&scheme=4139&jurisdiction=&search=&published_from=&published_to=&sort=newest,2025-08-23 00:00:00,2025-09-05 00:00:00,168,"Structured dataset containing quarterly IIP data for Kerala across multiple industrial categories for fiscal years 2019–2024, extracted from ECOSTAT Excel files with seven categorized sheets representing sectoral performance."
IIP,iip_in_rajasthan_fy_index,"fiscal_year, category, index_value, updated_on","Annual Index of Industrial Production (IIP) for Rajasthan by category (All, Manufacturing, Electricity, Mining) for the last five financial years, compiled from the official Rajasthan IIP portal.","Directorate of Economics and Statistics, Government of Rajasthan",https://iip.rajasthan.gov.in/,2025-08-23 00:00:00,2025-09-05 00:00:00,20,"Structured dataset providing financial year-wise IIP data for Rajasthan across major categories — All Industries, Manufacturing, Electricity, and Mining. Data extracted from the Rajasthan IIP portal using category and year filters, covering approximately five fiscal years from 2018–19 to 2023–24."
IIP,iip_in_rajasthan_monthly,"fiscal_year, category, month, index_value, updated_on","Monthly Index of Industrial Production (IIP) for Rajasthan by category (All, Manufacturing, Electricity, Mining) for the last five financial years, compiled from the official Rajasthan IIP portal.","Directorate of Economics and Statistics, Government of Rajasthan",https://iip.rajasthan.gov.in/,2025-08-23 00:00:00,2025-09-05 00:00:00,204,"Structured dataset providing month-wise IIP data for Rajasthan across key industrial categories — All Industries, Manufacturing, Electricity, and Mining. Data sourced from the Rajasthan IIP portal using category and year filters covering approximately five fiscal years from 2018–19 to 2023–24."
IIP,iip_in_rajasthan_two_digit_index,"nic_code, industry_description, fiscal_year, index_value, updated_on","Two-digit level Index of Industrial Production (IIP) for Rajasthan, representing detailed industry-wise indices for the last five financial years, compiled from the official Rajasthan IIP portal.","Directorate of Economics and Statistics, Government of Rajasthan",https://iip.rajasthan.gov.in/,2025-08-23 00:00:00,2025-09-05 00:00:00,115,Structured dataset showing two-digit industry-level IIP data for Rajasthan across approximately five fiscal years (2018–19 to 2023–24). Data extracted from the Rajasthan IIP portal using category and year filters for granular sectoral analysis.
